GalaxyID,DiscToTotal,n_r,q_r,re_r,pa_r,MassType_Star,MassType_Gas,MassType_DM,MassType_BH,BlackHoleMass,InitialMassWeightedStellarAge,StarFormationRate,rhalf_ellip,gini,m20,concentration,asymmetry,smoothness,SDSS_g,SDSS_r,SDSS_i,g-r,g-i
2.0,0.3478626074809964,1.0195,0.4366,2.769,33.6793,73412665000.0,0.0,121672827000.0,869601020.0,788473220.0,9.8952465,0.0,8.63753220511371,0.5224833005012973,-1.586048744126283,2.6889066743035963,0.0661534165883009,0.0354305660945044,-20.58092,-21.373377,-21.715055,0.7924570000000024,1.1341350000000006
13632.0,0.5763463370998562,2.4504,0.7375,3.021,-39.9075,72376558000.0,0.0,136894054000.0,121930848.0,77330176.0,9.399528,0.0,11.149082846177752,0.548008157843111,-1.6344561494415688,3.0128585814664715,0.063390207125245,0.0492031341598074,-20.596214,-21.397463,-21.740038,0.8012489999999985,1.1438239999999986
21794.0,0.6161944728723645,1.2601,0.5013,4.102,10.5816,42687422000.0,0.0,102476636000.0,59539836.0,48146040.0,8.438926,0.0,14.54553209425819,0.5305850101884244,-1.8641078775772149,3.019346813479101,0.0606072550813357,0.0079824034829842,-20.101946,-20.891933,-21.23112,0.789987,1.129173999999999
23302.0,0.7499123975631279,3.4987,0.5833,1.466,54.9974,46032544000.0,0.0,130640749000.0,48933812.0,30662012.0,7.254252,0.0,6.995069584397867,0.5466519253107761,-1.695922824503428,2.9361305344216517,0.0521957543371069,0.0120491248985776,-20.204325,-21.027872,-21.377316,0.8235469999999978,1.1729909999999997
24478.0,0.4537726693839186,1.0084,0.4284,4.783,62.1109,25326096400.0,0.0,95195652000.0,66047836.0,59013748.0,9.088057,0.0,19.473939006623063,0.486531440525166,-1.8056872662880088,2.8121561656946668,0.158223150122347,0.0084860792524313,-19.609924,-20.364689,-20.695051,0.754764999999999,1.085127
26264.0,0.5487356678182387,1.2453,0.6343,1.483,80.7296,36627849000.0,0.0,63841882000.0,100942200.0,73607744.0,9.888254,0.0,4.6985463766782605,0.479452124577476,-1.5267149656534942,2.5148669899093674,0.0413094648288238,0.0947168184038047,-19.654703,-20.494904,-20.852001,0.8402009999999969,1.197298
27474.0,0.0952761703464055,2.6561,0.8164,2.383,44.0208,27746691100.0,0.0,93402079000.0,73021960.0,64829580.0,10.377588,0.0,8.514335970116141,0.5515433501115213,-1.853511525860629,3.112080593344087,0.0397953285475323,0.0397905773857051,-19.532106,-20.310762,-20.651312,0.7786560000000016,1.119206000000002
28851.0,0.7070545600119416,2.0905,0.6433,1.339,-16.9829,30823675900.0,0.0,68049531000.0,71918248.0,23895214.0,8.097793,0.0,5.11552892536958,0.4731062154804026,-1.621235604438525,2.4561638925547946,0.0721162998857572,0.0797487813261098,-19.717684,-20.529078,-20.877296,0.811394,1.1596120000000028
29818.0,0.4728748417651947,2.9657,0.7242,4.44,51.1284,25598025700.0,560910140.0,152473977000.0,19932892.0,3425362.2,6.4166536,0.11599374,12.425039381961218,0.592266606499078,-2.0651007801831702,3.639660185486677,0.047005402331886,0.0017388326896079,-19.91179,-20.644505,-20.960505,0.7327149999999989,1.0487150000000014
30903.0,0.2838984939544942,1.5111,0.5089,4.783,84.6867,21133815800.0,0.0,283463746000.0,64133092.0,54303512.0,9.09521,0.0,19.156029202100594,0.5294836155615366,-1.9230164679918844,3.1060916811475305,0.0791356477430342,0.0153862915125194,-19.484425,-20.209341,-20.532597,0.7249159999999968,1.0481719999999974
32367.0,0.5529368652405942,1.5513,0.6872,4.179,11.1372,20385673200.0,565139840.0,146152817000.0,14735035.0,1496556.5,5.891516,0.26743457,13.907642804382403,0.5840804894638372,-1.754162290413866,3.165798534312003,0.0966511565586172,0.0043706800470392,-19.569923,-20.300568,-20.631954,0.7306449999999991,1.062031000000001
33116.0,0.6390605430323568,3.0169,0.4745,4.921,28.5012,13611606000.0,0.0,114643927000.0,16335147.0,1951996.6,7.7352343,0.0,18.11522478212819,0.591536571438328,-2.2038473085855186,3.990193140338356,0.1653362429229492,0.0021995780153736,-19.146109,-19.874939,-20.193068,0.7288300000000021,1.046959000000001
33641.0,0.5814883590441069,0.9705,0.5577,3.119,-88.901,13998310400.0,0.0,132521591000.0,10865242.0,965238.3,8.722791,0.0,12.371719100609164,0.5081664551892907,-1.7372232537769632,2.7868861740446995,0.1243336948338415,0.0304697126116064,-18.927345,-19.699883,-20.036684,0.7725380000000008,1.109339000000002
34157.0,0.5726544033237779,1.0893,0.3848,3.573,-40.2895,31275702300.0,0.0,50142777000.0,41310584.0,31759236.0,9.526835,0.0,13.660510054496273,0.5432269036145487,-1.8485606825764156,3.0858738596295803,0.0731956163100806,0.0107707453555196,-19.645857,-20.449457,-20.795414,0.8035999999999994,1.1495570000000015
35658.0,0.765082697592561,1.4535,0.5046,5.694,5.5469,24215908400.0,0.0,113315709000.0,14516975.0,1493041.2,7.898739,0.0,17.58351450150475,0.5603789140419312,-1.8223544974552053,3.2342469378070726,0.0723443539595931,0.012764625378962,-19.572487,-20.349825,-20.68542,0.7773380000000003,1.1129330000000015
36469.0,0.1520644430620218,2.4464,0.6896,2.513,-88.2883,11332687900.0,0.0,134315164000.0,9105195.0,949700.5,7.769258,0.0,9.52647345009112,0.5200043816675172,-1.807396447763397,2.893364047948133,0.0493522227485766,0.0339923451772663,-18.804523,-19.568544,-19.899973,0.7640209999999996,1.0954499999999996
