GalaxyID,DiscToTotal,n_r,q_r,re_r,pa_r,MassType_Star,MassType_Gas,MassType_DM,MassType_BH,BlackHoleMass,InitialMassWeightedStellarAge,StarFormationRate,rhalf_ellip,gini,m20,concentration,asymmetry,smoothness,SDSS_g,SDSS_r,SDSS_i,g-r,g-i
36469.0,0.1520644430620218,2.4464,0.6896,2.513,-88.2883,11332687900.0,0.0,134315164000.0,9105195.0,949700.5,7.769258,0.0,9.52647345009112,0.5200043816675172,-1.807396447763397,2.893364047948133,0.0493522227485766,0.0339923451772663,-18.804523,-19.568544,-19.899973,0.7640209999999996,1.0954499999999996
38952.0,0.1014735483508597,1.7198,0.8433,3.434,56.6627,18503469100.0,0.0,41911685000.0,71482352.0,65924828.0,9.594772,0.0,12.36292981823059,0.5234622668325434,-1.9120460836471165,3.088045395900276,0.0477594014426541,0.0250598521866752,-19.195171,-19.960503,-20.29527,0.7653320000000008,1.1000990000000002
142886.0,0.1993030222191214,1.9334,0.6363,2.717,-84.639,14825918500.0,0.0,58897404000.0,56656172.0,40643740.0,9.961282,0.0,10.208971723997246,0.5434862273192891,-1.781974795406811,3.01076616792514,0.0798109463505853,0.003033061196417,-18.943096,-19.705107,-20.04102,0.7620110000000011,1.097923999999999
165250.0,0.1076485842173663,1.2908,0.7086,5.6,40.6544,44598723000.0,149814288.0,84715315000.0,117127208.0,108745456.0,8.989779,0.0,20.29126452315592,0.5333631694931371,-1.860513018672258,3.0472882219857365,0.0556373238206356,0.0104185448368521,-20.09697,-20.891329,-21.232414,0.794359,1.1354439999999997
2318347.0,0.1375529657874541,0.858,0.7022,3.545,-62.3324,16310900700.0,4115099650.0,169624535000.0,15378868.0,10410777.0,6.5605593,1.6213734,13.992170745586831,0.4800435588195489,-1.5603869379831805,2.512830252860494,0.1860647309872693,0.0254319614596013,-19.552454,-20.175816,-20.446693,0.6233620000000002,0.8942389999999989
2355102.0,0.1551945616041218,1.2606,0.716,4.974,44.2938,14144583700.0,5211399700.0,98278687000.0,9092447.0,5361538.5,7.063427,1.8283715,24.824276542250534,0.5361239883074652,-1.997924217061304,3.4304825633249214,0.2242165056108657,0.0272899214016146,-19.97383,-20.456131,-20.62502,0.4823009999999996,0.6511899999999997
2430739.0,0.1669671998307318,1.7046,0.7407,2.354,-74.0728,17446854700.0,323546464.0,323581870000.0,24846136.0,15955409.0,7.170021,0.0015806751,10.128049537456873,0.5152864133634505,-1.796735298344824,2.838523788290032,0.0536083338914244,0.0369882709635337,-19.376343,-20.136105,-20.461288,0.759762000000002,1.0849450000000012
2490438.0,0.1305351602730369,1.4092,0.6645,4.054,65.5614,14371796000.0,3092442370.0,133840126000.0,10931410.0,6649482.0,5.710067,0.9230899,14.97566175743751,0.5579369237913072,-1.6954841610234386,3.0590969714680893,0.1578160910026639,0.0202428585589081,-19.740757,-20.3165,-20.572407,0.5757430000000028,0.8316499999999998
2506302.0,0.1662045701519739,1.5424,0.6552,4.184,83.7569,11223001100.0,4274286590.0,153239896000.0,34012736.0,31765482.0,9.100132,0.43026152,23.01276117809036,0.5374661234904903,-1.8752939030404872,3.415480065466994,0.2452755157582189,0.0359977833801882,-19.267954,-19.799173,-20.035196,0.5312190000000001,0.7672419999999995
2637010.0,0.1972291798569398,1.6019,0.9239,2.536,-21.5393,12818916400.0,430074048.0,95641633000.0,7269256.0,3670067.0,6.3178897,0.22582076,9.465387637373125,0.5394960917611736,-1.829044008229864,3.0529692579751018,0.0836484492946222,0.0359692589998254,-19.060394,-19.793055,-20.128109,0.7326610000000002,1.0677149999999995
2641811.0,0.187123301890049,1.9802,0.8071,1.624,55.8451,10249167900.0,0.0,29036662800.0,19970262.0,5451152.5,7.73001,0.0,6.6576991818094085,0.526414014833289,-1.7796404893725692,2.8833606813531585,0.0378822136807902,0.0012164369676235,-18.643738,-19.428461,-19.766104,0.7847229999999996,1.1223659999999995
2663001.0,0.1077534743418832,3.4823,0.8917,2.074,-30.3972,10722547700.0,0.0,14552264700.0,0.0,0.0,8.775336,0.0,7.957336907597115,0.5850835663388074,-1.986946537852842,3.4810546900292594,0.0744659067514999,0.0345512186853006,-18.615215,-19.39355,-19.72974,0.778335000000002,1.1145250000000004
2721237.0,0.1130434573137049,2.6952,0.8973,2.796,-22.1399,62172418000.0,0.0,71927546000.0,34492216.0,4281049.0,8.65702,0.0,11.024483058038486,0.5876657706811274,-1.9723770780437495,3.4836742298853656,0.0512904917986163,0.0013082129308222,-20.40232,-21.22142,-21.570328,0.8190999999999988,1.1680080000000004
2780929.0,0.1202516843793513,1.2382,0.8169,3.331,69.9731,12234281000.0,3102804740.0,74535510000.0,11041274.0,1866217.4,4.5997787,2.252004,14.97854699064923,0.4892289375571599,-1.4397416793117463,2.556998408164608,0.1869795974930608,0.0355486321930248,-19.76334,-20.3395,-20.585484,0.5761600000000016,0.8221440000000015
3540463.0,0.1138163802012141,1.0136,0.853,1.476,-24.6116,11958446100.0,0.0,8124448800.0,0.0,0.0,10.730921,0.0,6.377413334246669,0.4672336131972185,-1.672515200124026,2.468886444397796,0.0496293867029416,0.0045820779360672,-18.543325,-19.340637,-19.688143,0.7973120000000016,1.1448180000000008
4461432.0,0.1670444686149426,2.3041,0.6767,6.415,-62.8082,96786031000.0,26140078.0,227445768000.0,175009552.0,146288480.0,7.3381667,0.0,26.077600491117224,0.5525525076294036,-1.9219377343601636,3.313396581023035,0.0785569468359805,0.0083941442864189,-21.112572,-21.901518,-22.233246,0.7889459999999993,1.120674000000001
