GalaxyID,n_r,pa_r,q_r,re_r,mag_r,flag_r,MassType_Star,MassType_Gas,MassType_DM,MassType_BH,BlackHoleMass,InitialMassWeightedStellarAge,StarFormationRate,xc_centroid,yc_centroid,ellipticity_centroid,elongation_centroid,orientation_centroid,xc_asymmetry,yc_asymmetry,ellipticity_asymmetry,elongation_asymmetry,orientation_asymmetry,flux_circ,flux_ellip,rpetro_circ,rpetro_ellip,rmax_circ,rmax_ellip,rhalf_circ,rhalf_ellip,r20,r80,gini,m20,gini_m20_bulge,sn_per_pixel,concentration,asymmetry,smoothness,multimode,intensity,deviation,outer_asymmetry,shape_asymmetry,sersic_amplitude,sersic_rhalf,sersic_n,sersic_xc,sersic_yc,sersic_ellip,sersic_theta,sky_mean,sky_median,sky_sigma,xmin_stamp,ymin_stamp,xmax_stamp,ymax_stamp,nx_stamp,ny_stamp,flag,flag_sersic,DiscToTotal
2,1.0195,33.6793,0.4366,2.769,17.2393,0,73412665000.0,0.0,121672827000.0,869601020.0,788473220.0,9.8952465,0.0,167.20413938658464,167.30948404139056,0.03499301036135405,1.0362619242524425,0.7341653659965921,167.2617583114848,167.60798823154823,0.03506929673755865,1.0363438499977138,0.7385264346447855,0.6237170041247202,0.6224448965906647,16.331827436168158,16.446507439818483,59.993511720969394,62.1314163880688,8.533400811959226,8.63753220511371,3.8811562983609953,13.388825072579104,0.5224833005012973,-1.586048744126283,-0.27457588283906453,0.22587183715986833,2.6889066743035963,0.06615341658830093,0.0354305660945044,0.0,0.0,0.04064740456433969,0.07785404946676108,0.08306967326155254,0.0006097791997691196,10.056310769353225,1.3794659768620634,167.26579384913543,167.55689100392672,0.29638290608349166,0.8917635841230859,1.6747944812678542e-08,1.6727389716277904e-08,2.3977726529144776e-07,51,43,284,276,234,234,0,0,0.3478626074809964
13632,2.4504,-39.9075,0.7375,3.021,17.1314,0,72376558000.0,0.0,136894054000.0,121930848.0,77330176.0,9.399528,0.0,165.99215328086188,166.8878704830206,0.3017131497594824,1.43207623007015,-0.25643041459623395,165.96576209897069,167.86677916534947,0.3002273002743665,1.429035457359339,-0.25766769362522196,0.590729977847226,0.5835998270720171,18.312523485786503,20.279196218102,74.4832495023078,82.89945137711227,9.984743774856334,11.149082846177752,3.7618883360174893,15.065294179740718,0.548008157843111,-1.6344561494415688,-0.11468150711359337,0.19956276362522685,3.0128585814664715,0.06339020712524503,0.04920313415980748,0.0,0.0,0.056967890602617866,0.1330393707608181,0.258086269440935,0.00038939125257631967,13.18410559467452,1.8563495407621722,166.42650485654525,167.65467502467772,0.4302667606633465,3.0113300171436306,8.292518534072528e-09,9.553278252377744e-09,2.354236586043202e-07,14,3,331,320,318,318,0,0,0.5763463370998562
21794,1.2601,10.5816,0.5013,4.102,17.693,0,42687422000.0,0.0,102476636000.0,59539836.0,48146040.0,8.438926,0.0,166.96353655424244,167.24539735196532,0.15402309903001743,1.1820653718244756,0.36588647993381185,167.20291267305913,167.31121505954314,0.1540911679217899,1.182160490679855,0.3658303593261027,0.408555417957995,0.40658311692145427,28.243652515068455,29.55004024210032,94.79694666802112,105.17112446520282,13.716057067912509,14.54553209425819,5.649616764506785,22.692813903156857,0.5305850101884244,-1.8641078775772149,-0.041777440406288946,0.10816492166562584,3.0193468134791015,0.060607255081335784,0.00798240348298427,0.0,0.0,0.010503655746118733,0.0810451584993237,0.08953585690591923,0.00017222279492892963,15.807841947701458,1.4193772340239312,167.17071798208846,167.38891899003303,0.3300190224601692,0.46126950941671624,-3.551470707723668e-09,-2.0966695510542043e-09,1.4853431040385627e-07,12,18,317,323,306,306,0,0,0.6161944728723645
23302,3.4987,54.9974,0.5833,1.466,17.4702,0,46032544000.0,0.0,130640749000.0,48933812.0,30662012.0,7.254252,0.0,168.97256246091627,167.421603909667,0.2631200491783844,1.3570731553830546,-0.08064108302892699,168.89346169734972,167.355328319509,0.2631094518009125,1.3570536390294798,-0.08056238167684128,0.452816977195621,0.44780977002521527,13.462958731039569,14.221522757524133,52.528496986179604,55.828105303145534,6.41873198127398,6.995069584397867,2.791507845470868,10.791081178810279,0.5466519253107761,-1.695922824503428,-0.07879845233078253,0.2491711335733303,2.9361305344216513,0.05219575433710696,0.01204912489857769,0.0,0.0,0.09354353224630274,0.053928405730561006,0.0560489546917013,0.0007786647208387222,8.653101059047584,1.6310339234841695,168.77416861164517,167.42366413113308,0.48468170865310295,3.0882852763427406,2.1060100243623036e-09,2.6239388173191925e-09,1.6984543013185115e-07,40,37,303,300,264,264,0,0,0.7499123975631279
24478,1.0084,62.1109,0.4284,4.783,18.1947,0,25326096400.0,0.0,95195652000.0,66047836.0,59013748.0,9.088057,0.0,165.5308566923686,166.78595552220435,0.13762545819152006,1.1595889622424458,-0.43783355948865443,166.26779757658028,167.6761339089693,0.1358817955596907,1.1572490833562539,-0.4345852825963525,0.2638773620775539,0.26353679156858095,37.89376057309606,40.011843868698534,102.99885028458502,116.27405446104959,18.392146254482498,19.473939006623066,8.174461906191683,29.84629364116853,0.48653144052516606,-1.8056872662880088,-0.3003280938628379,0.06602537588913407,2.8121561656946668,0.15822315012234706,0.00848607925243135,0.0,0.0,0.07258796551755452,0.1919628088816193,0.10441464439970807,7.081341398338882e-05,19.31890674590342,1.0181524004576876,166.20078579827023,167.35911972509786,0.20900852450842866,2.7621393643988075,-4.317371059651735e-09,-3.4458943883983244e-10,9.471278105581216e-08,28,27,309,308,282,282,0,0,0.4537726693839186
26264,1.2453,80.7296,0.6343,1.483,18.0783,0,36627849000.0,0.0,63841882000.0,100942200.0,73607744.0,9.888254,0.0,167.48357298399134,167.43575370333429,0.13691540696532611,1.1586349797809745,0.08666788640762824,167.4478681472038,167.48473907063172,0.1368995999405206,1.1586137602659972,0.08657920729241458,0.27222794255365523,0.2710309807324205,8.575694061031921,8.886650803792831,31.576295240931643,32.91892218316681,4.468628197772622,4.6985463766782605,2.1669146376649087,6.899461590548861,0.47945212457747605,-1.5267149656534942,-0.5286985121436221,0.30121161518693046,2.5148669899093674,0.041309464828823875,0.09471681840380478,0.0,0.0,0.08877366944277766,0.05343540422561644,0.11158172239926906,0.0011851396747989656,5.548193461215145,1.1370206987990443,167.43895660974292,167.4920056215464,0.4221564612778959,0.00403686654111333,1.0856391375451193e-09,-2.0592448340841334e-09,1.0733974752712668e-07,57,60,270,273,214,214,0,0,0.5487356678182387
27474,2.6561,44.0208,0.8164,2.383,18.1948,0,27746691100.0,0.0,93402079000.0,73021960.0,64829580.0,10.377588,0.0,167.71896887638133,167.71650970766254,0.1658296710669186,1.1987959356921958,0.03303137117719772,167.61356440000617,167.61498719792374,0.16582647537778172,1.198791343147556,0.03316695451335404,0.22344484326803005,0.22282979082349538,16.04300208038853,17.216209540878225,58.6919104769108,61.836221868390076,7.898881815721997,8.514335970116141,3.152258939313813,13.214112614116496,0.5515433501115213,-1.853511525860629,0.054623070473446056,0.13275357383905478,3.112080593344087,0.03979532854753233,0.0397905773857051,0.0,0.0,0.025514622123821783,0.06648765225161282,0.07836899985479422,0.00018145059448031965,10.272793721935082,2.025101782241509,167.5963526632785,167.55490679473957,0.23707157528033912,0.10948379487771139,-4.796125688174566e-09,-4.897470265292466e-09,8.689637290349803e-08,17,16,322,321,306,306,0,0,0.0952761703464055
28851,2.0905,-16.9829,0.6433,1.339,18.0489,0,30823675900.0,0.0,68049531000.0,71918248.0,23895214.0,8.097793,0.0,168.10168819893988,168.5794037627223,0.20979393175810768,1.2654926862620435,-0.10201212944058446,167.87156825167466,168.40202767792255,0.2097323206489441,1.2653940255043328,-0.10111102936341315,0.2664988792052132,0.2673598893693033,8.297210026421213,9.390555335924999,33.77037616638385,34.216900091753736,4.5680569065620995,5.11552892536958,2.163015314516734,6.703357365089114,0.47310621548040266,-1.621235604438525,-0.4946079594961086,0.2934443479488062,2.4561638925547946,0.07211629988575724,0.07974878132610982,0.0,0.0,0.05705153198865807,0.10030699361965582,0.12874020052239085,0.0006834334081967803,5.716408398882162,1.753027420364945,167.7844448324076,168.45608565803832,0.20911057975623124,0.23312412509372343,6.279355498654968e-09,1.224950365806942e-08,1.0860719432633964e-07,42,39,297,294,256,256,0,0,0.7070545600119416
29818,2.9657,51.1284,0.7242,4.44,18.0254,0,25598025700.0,560910140.0,152473977000.0,19932892.0,3425362.2,6.4166536,0.11599374,167.5758066554341,167.63156628772464,0.27932572410847933,1.387589419315592,-0.07852833397513953,167.01537559012797,167.63836126005322,0.27954918273538276,1.3880198009862288,-0.07844186454836673,0.2995826371240219,0.3009111024121841,22.933621544180383,26.86000174246382,98.8525103685599,103.60739810125413,10.971659538404927,12.425039381961218,3.5072302728188536,18.74546932556174,0.592266606499078,-2.0651007801831702,0.40283454283737274,0.1030664675833214,3.639660185486677,0.047005402331886034,0.0017388326896079864,0.0,0.0,0.02183662381389036,0.06965377407319921,0.0637090590648544,0.00015112642194260758,13.50198655735459,2.2287115294472306,167.1419839384204,167.53433214776314,0.3230811646144977,3.037363420136872,-5.343518423732356e-10,2.1630565424354737e-09,1.2456704419942796e-07,0,0,335,335,336,336,0,0,0.4728748417651947
30903,1.5111,84.6867,0.5089,4.783,18.3428,0,21133815800.0,0.0,283463746000.0,64133092.0,54303512.0,9.09521,0.0,166.7292942503602,167.65355977920368,0.19436878231790888,1.2412627242488616,-0.07975940249316467,166.61002515922573,167.45938354111829,0.19433671300332256,1.2412133159595293,-0.07966921529401473,0.2223991561920533,0.22154188242109574,35.919895316863176,39.049361987602865,121.79498254438496,133.76785806458167,17.588731837965554,19.156029202100594,6.948916846192335,29.049285238217045,0.5294836155615366,-1.9230164679918844,-0.006405690652018237,0.06106803032366237,3.1060916811475305,0.07913564774303429,0.01538629151251945,0.0,0.0,0.02121983773691092,0.08642634872566561,0.05989967609020031,5.588699902476923e-05,19.782842781336146,1.4887945798980984,166.6676148204062,167.5009417007978,0.27489570057526447,3.0843098623631016,-3.2164024464077897e-09,-1.2119194448829535e-09,8.146874815969194e-08,0,0,335,335,336,336,0,0,0.2838984939544942
