# Results of Galfit fitting to the mock r-band images of EAGLE galaxies at z=0.1
#
# COLUMN 1	[-]	Unique galaxy ID
# COLUMN 2	[mag]	best-fit integrated AB magnitude from Galfit
# COLUMN 3	[mag]	uncertainty on the best-fit integrated AB magnitude from Galfit
# COLUMN 4	[kpc]	best-fit semi-major axis from Galfit
# COLUMN 5	[kpc]	uncertainty on the best-fit semi-major axis from Galfit
# COLUMN 6	[-]	best-fit Sersic index from Galfit
# COLUMN 7	[-]	uncertainty on the best-fit Sersic index from Galfit
# COLUMN 8	[-]	best-fit axis ratio from Galfit
# COLUMN 9	[-]	uncertainty on the best-fit axis ratio from Galfit
# COLUMN 10	[deg]	best-fit position angle from Galfit 
# COLUMN 11	[deg]	uncertainty on the best-fit position angle from Galfit
# COLUMN 12	[-]	quality flag (see description in Section 3.2.3)
#
GalaxyID,galfit_mag,galfit_dmag,galfit_re,galfit_dre,galfit_n,galfit_dn,galfit_q,galfit_dq,galfit_PA,galfit_dPA,flag
8871484,18.0913,0.02,3.905,0.098,1.2626,0.04,0.8258,0.02,-19.9203,3.62,0
8873581,18.2124,0.01,3.941,0.075,1.0401,0.04,0.4705,0.01,-63.2292,0.84,0
8874841,17.4157,0.02,14.667,0.475,1.4997,0.05,0.3322,0.01,36.6593,0.53,0
8876820,17.8434,0.02,7.393,0.196,1.2214,0.04,0.5362,0.01,85.1553,1.07,0
8878259,17.586,0.03,10.381,0.535,2.0871,0.09,0.7416,0.02,2.0855,2.82,0
8880354,17.121,0.04,13.024,0.822,3.0377,0.13,0.9134,0.02,-5.4766,7.92,0
8882043,17.5913,0.01,4.591,0.09,1.3431,0.03,0.832,0.01,7.6516,2.7,0
8883149,17.702,0.02,14.252,0.339,0.9287,0.03,0.2444,0.0,-43.9029,0.39,0
8884850,17.0746,0.01,7.99,0.143,1.3754,0.03,0.7346,0.01,-53.8783,1.37,0
8886522,18.2306,0.02,7.168,0.256,1.2834,0.06,0.4452,0.01,-52.0614,1.05,0
8887633,17.7436,0.02,8.215,0.204,1.2198,0.04,0.4385,0.01,-85.6357,0.72,0
8889416,17.2127,0.02,12.403,0.354,1.6504,0.04,0.4648,0.01,51.7437,0.7,0
8890852,17.9307,0.02,2.203,0.083,3.7644,0.27,0.808,0.02,-6.1009,3.72,0
8892341,18.3004,0.02,2.385,0.068,2.3213,0.17,0.6939,0.02,58.6322,2.4,0
8894369,17.7813,0.03,14.306,0.588,1.4442,0.06,0.2998,0.01,-27.8497,0.62,0
8895813,17.421,0.01,14.4,0.302,0.9644,0.03,0.2844,0.0,67.7286,0.38,0
8897327,17.3726,0.05,16.438,1.304,2.7185,0.14,0.6908,0.02,2.9261,2.59,0
8898961,17.7442,0.01,10.75,0.181,0.6678,0.02,0.2971,0.0,37.9213,0.4,0
8900329,18.4485,0.02,3.932,0.136,1.3855,0.07,0.6982,0.02,-52.5361,2.59,0
8903544,17.5519,0.02,5.753,0.151,1.6038,0.05,0.8705,0.01,-36.3972,4.16,0
8905408,18.0306,0.02,4.829,0.143,1.4493,0.05,0.7763,0.02,-20.0223,2.91,0
8906928,18.1912,0.01,5.896,0.113,0.8526,0.04,0.3222,0.01,-34.485,0.51,0
8908282,17.4604,0.04,11.279,0.859,3.4381,0.18,0.6384,0.02,-62.9941,1.76,0
8910129,17.6762,0.03,11.752,0.558,2.2029,0.1,0.3031,0.01,-38.2455,0.56,0
8911639,17.3996,0.04,12.313,0.694,2.6607,0.11,0.5404,0.01,29.7772,1.17,0
8913386,17.6619,0.01,9.131,0.158,0.8021,0.03,0.3976,0.0,-11.8824,0.55,0
8915064,17.6193,0.01,3.278,0.038,1.6164,0.05,0.3759,0.01,88.5594,0.44,0
8918814,17.9355,0.03,11.638,0.482,1.3361,0.06,0.4,0.01,71.2237,0.95,0
8919859,18.4976,0.02,5.67,0.158,0.8664,0.05,0.4534,0.01,-76.792,1.07,0
8920435,17.0259,0.02,10.09,0.354,2.3227,0.07,0.8033,0.01,52.5953,2.45,0
8922758,17.3445,0.02,16.11,0.384,1.1184,0.03,0.2802,0.0,-36.3202,0.39,0
8924822,17.5247,0.02,6.314,0.151,1.6067,0.04,0.5671,0.01,23.9936,0.9,0
8928044,18.0151,0.03,7.891,0.317,1.6119,0.07,0.473,0.01,-32.6973,1.09,0
8929122,18.4369,0.02,3.654,0.09,0.9796,0.05,0.735,0.02,66.9406,2.62,0
8930053,18.2863,0.02,3.275,0.106,1.7952,0.1,0.6729,0.02,18.1133,2.1,0
8931580,16.8661,0.03,13.54,0.678,3.1948,0.11,0.6975,0.01,-66.7455,1.51,0
8933478,17.3092,0.01,7.614,0.106,0.828,0.02,0.6362,0.01,-84.4362,0.93,0
8935447,17.8617,0.02,3.888,0.106,1.8127,0.07,0.7146,0.01,21.1126,1.83,0
8937440,17.197,0.02,10.929,0.279,1.3798,0.03,0.6898,0.01,7.6363,1.54,0
8939368,17.9082,0.03,7.237,0.324,2.1198,0.1,0.482,0.01,-56.5472,1.04,0
8941629,18.8185,0.03,3.025,0.121,1.5907,0.14,0.5896,0.02,-4.5881,2.25,0
8943298,17.2118,0.01,8.906,0.188,1.2272,0.03,0.7896,0.01,40.5441,2.2,0
8945137,17.8358,0.01,4.885,0.106,1.1882,0.04,0.7467,0.01,-83.2472,2.02,0
8946831,17.9551,0.03,6.066,0.264,2.1062,0.1,0.5868,0.01,6.1401,1.47,0
8948515,17.9559,0.02,3.744,0.128,2.0256,0.09,0.8727,0.02,38.1722,5.21,0
8950687,18.1321,0.03,7.219,0.286,1.4748,0.07,0.5077,0.01,25.8587,1.28,0
8951969,18.2247,0.04,8.713,0.445,1.5447,0.08,0.4891,0.01,13.2832,1.45,0
8953149,18.1769,0.02,2.913,0.068,1.4757,0.07,0.7879,0.02,61.0765,2.95,0
8956637,18.2325,0.01,4.402,0.075,0.646,0.03,0.7527,0.01,7.798,2.29,0
8958333,18.2477,0.04,3.693,0.241,2.9345,0.22,0.8882,0.03,-15.7675,8.67,0
8960070,17.5391,0.03,13.186,0.498,1.715,0.06,0.3405,0.01,11.1436,0.59,0
8961773,18.1338,0.02,4.63,0.143,1.3801,0.05,0.7635,0.02,28.6392,2.89,0
8963515,18.6328,0.04,4.188,0.271,2.0506,0.17,0.7498,0.03,39.4506,4.49,0
8965615,17.8279,0.02,6.597,0.166,1.2006,0.04,0.5836,0.01,-63.0176,1.18,0
8967474,17.4323,0.02,8.119,0.234,1.6798,0.05,0.6769,0.01,-4.4818,1.51,0
8968984,18.5804,0.04,3.558,0.204,2.2553,0.19,0.6867,0.03,-86.5163,3.15,0
8970963,17.6283,0.01,8.441,0.143,0.9176,0.03,0.3672,0.0,-57.9574,0.46,0
8972409,17.9191,0.01,4.117,0.075,1.3694,0.04,0.4426,0.01,55.5657,0.66,0
8974623,18.1897,0.03,4.576,0.196,1.9011,0.1,0.7675,0.02,40.0179,3.36,0
8976542,17.4975,0.02,8.632,0.204,1.3466,0.03,0.4992,0.01,-61.5551,0.77,0
8978301,17.461,0.03,7.439,0.339,2.5639,0.1,0.8565,0.02,-88.0811,4.28,0
8980187,17.9209,0.02,4.291,0.158,2.2883,0.11,0.6828,0.02,23.7915,1.87,0
8982466,17.0054,0.05,21.262,1.666,2.8723,0.14,0.7537,0.02,-9.6241,3.03,0
8984019,17.9226,0.02,9.284,0.309,1.4011,0.05,0.3551,0.01,-30.0466,0.67,0
8986033,17.3412,0.03,8.671,0.362,2.2678,0.08,0.9185,0.02,39.6487,7.79,0
8988007,18.7701,0.02,2.459,0.083,1.7412,0.17,0.6626,0.02,81.5918,2.88,0
8990039,17.946,0.02,5.364,0.173,1.9123,0.08,0.4446,0.01,46.3933,0.82,0
8991644,17.6381,0.03,9.644,0.392,1.7455,0.07,0.6492,0.01,26.8107,1.79,0
8993208,17.6568,0.01,2.49,0.053,3.3024,0.17,0.483,0.01,-52.0473,0.81,0
8995406,18.6881,0.05,3.935,0.347,2.9703,0.32,0.5792,0.03,50.0489,2.6,0
8997131,17.8915,0.04,5.307,0.369,3.4988,0.22,0.706,0.02,86.2686,2.47,0
9000212,18.3502,0.01,5.391,0.121,0.7931,0.04,0.4853,0.01,86.7901,1.01,0
9001485,18.3521,0.03,7.243,0.264,0.9556,0.05,0.6632,0.02,2.9266,2.58,0
9002084,17.6146,0.03,13.415,0.558,1.766,0.07,0.3441,0.01,-79.904,0.64,0
9003480,17.8793,0.01,8.568,0.143,0.6668,0.03,0.3337,0.0,-59.5809,0.46,0
9005186,17.562,0.03,17.305,0.626,1.3217,0.05,0.2921,0.01,60.6659,0.54,0
9006563,17.8485,0.03,5.815,0.279,2.4791,0.12,0.7043,0.02,-8.679,2.21,0
9008304,17.6776,0.02,6.974,0.211,1.4682,0.05,0.8053,0.01,-46.1265,3.15,0
9010268,18.8402,0.02,5.919,0.173,0.5727,0.05,0.4617,0.01,31.6385,1.36,0
9011155,17.8884,0.02,10.146,0.302,1.1566,0.04,0.3697,0.01,-28.3081,0.69,0
9012765,18.1016,0.04,7.128,0.415,1.9977,0.11,0.7658,0.02,44.7768,3.92,0
9014149,18.2099,0.03,4.551,0.173,1.5952,0.07,0.8421,0.02,70.4714,5.08,0
9015914,17.8553,0.02,10.291,0.249,0.9365,0.03,0.3428,0.01,79.1717,0.58,0
9017404,18.1412,0.02,3.828,0.098,1.467,0.06,0.6446,0.01,6.81,1.6,0
9019265,18.0431,0.06,7.813,0.875,4.2541,0.36,0.4542,0.02,49.8517,1.34,0
9020524,17.901,0.02,3.827,0.136,2.3878,0.11,0.6993,0.02,10.7309,1.93,0
9022544,17.7345,0.01,3.904,0.075,1.2578,0.03,0.8931,0.01,-71.0227,4.59,0
9024232,17.6912,0.01,6.153,0.098,0.8938,0.03,0.5336,0.01,15.6254,0.76,0
9026380,18.3836,0.02,3.664,0.136,1.5589,0.08,0.796,0.02,89.4008,4.04,0
9027313,18.149,0.04,6.122,0.392,2.3072,0.14,0.7999,0.02,43.845,4.67,0
9029373,17.9299,0.01,3.562,0.053,1.362,0.05,0.3503,0.01,-76.1186,0.5,0
9031124,17.0805,0.02,12.18,0.392,1.8852,0.05,0.6586,0.01,-79.9729,1.36,0
9032934,17.8769,0.03,4.605,0.181,2.1135,0.09,0.9329,0.02,-60.626,10.67,0
9034192,17.8364,0.01,5.211,0.098,0.9008,0.03,0.9334,0.01,78.7493,8.76,0
9035934,17.6168,0.04,11.22,0.701,2.3747,0.12,0.71,0.02,32.4526,2.65,0
9037350,17.8481,0.03,7.459,0.324,2.0123,0.09,0.5896,0.01,32.6421,1.47,0
9039181,17.7951,0.03,8.46,0.347,1.9132,0.08,0.4455,0.01,31.9153,0.88,0
9040800,17.4988,0.02,6.719,0.151,1.2179,0.03,0.9488,0.01,54.086,11.11,0
9042745,17.3249,0.03,9.784,0.384,1.9852,0.07,0.8595,0.02,-66.7466,4.54,0
9044113,17.4462,0.04,10.603,0.633,2.8141,0.13,0.6638,0.02,-28.8088,1.84,0
9045697,17.3042,0.02,12.295,0.286,1.2297,0.03,0.4257,0.01,-63.3962,0.61,0
9046861,17.7243,0.01,12.481,0.204,0.6144,0.02,0.2421,0.0,-42.4268,0.32,0
9048285,17.6735,0.02,8.855,0.249,1.2214,0.04,0.6026,0.01,-2.659,1.34,0
9049342,18.0139,0.01,7.541,0.143,0.7721,0.03,0.3528,0.01,-73.5705,0.54,0
9051081,18.0354,0.01,5.062,0.106,1.1624,0.04,0.4347,0.01,88.6041,0.71,0
9052812,17.8475,0.04,5.492,0.43,4.1194,0.27,0.6027,0.02,55.8561,1.68,0
9054328,17.7906,0.01,7.381,0.113,0.7841,0.03,0.3476,0.0,-83.7875,0.43,0
9055874,18.0407,0.03,4.273,0.234,2.8702,0.18,0.7153,0.02,17.1667,2.56,0
9057798,17.7732,0.03,6.957,0.309,2.1877,0.09,0.6512,0.01,32.8773,1.75,0
9059235,17.6389,0.01,4.751,0.06,0.6536,0.02,0.9014,0.01,-22.733,4.22,0
9060709,17.8854,0.02,4.518,0.128,1.6781,0.06,0.6932,0.01,-80.6037,1.76,0
9062529,18.5453,0.03,4.689,0.196,1.426,0.08,0.5923,0.02,-38.6734,2.01,0
9063625,17.8472,0.02,9.096,0.204,1.0037,0.03,0.308,0.0,44.9039,0.47,0
9065059,18.4011,0.02,2.765,0.06,1.3035,0.07,0.7066,0.02,34.9633,2.27,0
9067175,17.5389,0.05,11.775,1.01,3.1125,0.18,0.8876,0.03,72.1162,8.11,0
9068673,17.7909,0.01,4.536,0.053,0.771,0.02,0.435,0.0,78.8165,0.49,0
9070702,17.9554,0.01,4.254,0.09,1.1271,0.04,0.8911,0.01,12.8051,5.43,0
9071732,17.375,0.03,10.512,0.513,2.4186,0.09,0.7275,0.02,-11.4057,2.24,0
9073345,17.6806,0.06,11.536,1.199,3.4819,0.23,0.8186,0.03,-8.0798,5.29,0
9074810,18.0126,0.02,4.193,0.121,1.6866,0.07,0.6939,0.01,73.7662,1.89,0
9078222,17.6869,0.06,8.337,0.882,4.3492,0.3,0.8357,0.03,-29.1088,5.23,0
9080087,17.6529,0.0,2.621,0.023,1.0263,0.04,0.3828,0.01,80.4486,0.42,0
9081992,17.5758,0.03,12.15,0.437,1.3431,0.05,0.5961,0.01,89.5284,1.55,0
9083853,17.0843,0.03,11.674,0.422,1.8966,0.06,0.9224,0.02,63.8039,7.93,0
9085596,18.6092,0.02,3.409,0.083,0.9084,0.05,0.68,0.02,-45.3195,2.25,0
9086643,17.4578,0.04,12.08,0.648,2.3947,0.1,0.589,0.01,-58.7596,1.44,0
9088199,17.6715,0.01,4.563,0.053,0.8172,0.02,0.5217,0.0,42.9925,0.61,0
9089858,17.8481,0.03,8.168,0.339,1.6215,0.07,0.7132,0.02,0.7413,2.51,0
9091411,17.4026,0.04,10.445,0.573,2.5399,0.11,0.8158,0.02,84.2757,3.77,0
9092694,18.1053,0.03,6.235,0.241,1.6357,0.07,0.5135,0.01,-65.9287,1.22,0
9094127,17.5596,0.05,11.515,0.799,2.4009,0.12,0.9695,0.03,70.0936,32.12,0
9095346,17.6273,0.02,8.225,0.256,1.6429,0.05,0.5148,0.01,81.2522,0.93,0
9098658,18.3344,0.03,4.963,0.188,1.504,0.07,0.6324,0.02,51.7379,2.0,0
9100587,17.6447,0.04,8.596,0.46,2.2942,0.1,0.8465,0.02,-52.1883,5.0,0
9101582,18.2171,0.01,2.67,0.038,0.6793,0.03,0.9577,0.01,-81.1339,13.01,0
9103216,17.7116,0.02,7.293,0.196,1.4442,0.04,0.5303,0.01,-35.8974,0.96,0
9105124,18.0364,0.02,10.813,0.332,1.0223,0.04,0.312,0.01,38.9105,0.63,0
9106483,17.9291,0.02,1.814,0.045,3.2219,0.21,0.7892,0.02,15.7967,3.12,0
9108583,18.308,0.03,4.359,0.166,1.5221,0.07,0.7707,0.02,59.2368,3.48,0
9110373,17.5959,0.02,5.294,0.136,1.6714,0.05,0.7672,0.01,-73.575,2.08,0
9112391,18.1845,0.05,11.685,0.957,2.2194,0.16,0.3957,0.01,-45.8423,1.27,0
9113324,17.7545,0.01,3.493,0.053,0.9844,0.03,0.9063,0.01,54.0558,4.74,0
9114531,18.5351,0.03,3.794,0.158,1.5495,0.09,0.7541,0.02,88.8535,3.72,0
9116297,18.5732,0.02,2.77,0.068,1.0037,0.05,0.8757,0.02,-64.5166,6.48,0
9119232,17.7571,0.01,6.004,0.113,1.034,0.03,0.5983,0.01,37.9832,1.07,0
9121173,17.5462,0.02,4.824,0.151,2.2466,0.08,0.8447,0.01,19.0294,3.36,0
9123037,18.1468,0.03,8.976,0.384,1.5841,0.08,0.3064,0.01,-60.8545,0.68,0
9125262,18.6721,0.04,3.51,0.211,2.0173,0.17,0.8582,0.03,-28.7237,8.32,0
9126772,17.4482,0.01,4.484,0.045,0.6658,0.02,0.7925,0.01,-72.7534,1.51,0
9129643,17.2072,0.03,14.282,0.671,2.1626,0.08,0.6605,0.01,50.7162,1.73,0
9131265,17.5203,0.01,6.058,0.098,0.9529,0.02,0.7425,0.01,86.2962,1.61,0
9132633,17.331,0.06,16.286,1.38,2.8104,0.15,0.8715,0.03,14.0798,7.27,0
9133843,18.3972,0.02,5.436,0.143,0.9563,0.05,0.4297,0.01,72.4766,0.91,0
9135991,18.1373,0.03,4.509,0.188,1.9963,0.1,0.7209,0.02,-36.2119,2.57,0
9137545,18.0868,0.04,5.671,0.362,2.7893,0.18,0.6184,0.02,67.8319,1.95,0
9139293,18.0157,0.03,11.57,0.513,1.4414,0.07,0.3463,0.01,40.6781,0.81,0
9140633,17.9028,0.04,7.439,0.422,2.3954,0.13,0.634,0.02,-19.1172,1.93,0
9142108,18.1599,0.03,6.216,0.256,1.7018,0.08,0.5058,0.01,41.2179,1.24,0
9144377,17.8443,0.02,4.862,0.143,1.5645,0.05,0.9353,0.02,61.8533,10.16,0
9146096,17.7618,0.03,11.641,0.528,1.9522,0.09,0.3074,0.01,-62.8389,0.59,0
9147203,17.3855,0.01,7.289,0.136,1.0407,0.03,0.8764,0.01,-11.3572,4.03,0
9148965,17.2305,0.07,22.633,2.345,2.8094,0.17,0.8183,0.03,5.4556,5.71,0
9150431,17.9219,0.02,5.558,0.188,1.724,0.07,0.649,0.01,-35.0076,1.65,0
9152138,18.2321,0.01,4.665,0.098,1.0071,0.04,0.4852,0.01,24.1028,0.92,0
9153722,17.7633,0.01,6.372,0.106,0.895,0.03,0.4662,0.01,70.3277,0.65,0
9155184,17.4794,0.02,8.134,0.173,1.1193,0.03,0.6897,0.01,-65.4576,1.53,0
9156677,18.0593,0.01,5.73,0.121,0.9876,0.04,0.4473,0.01,-39.5361,0.76,0
9158108,18.141,0.01,1.423,0.038,2.8385,0.23,0.8757,0.02,-8.4174,6.47,0
9161416,17.4597,0.04,13.959,0.799,2.5864,0.11,0.5053,0.01,51.3416,1.06,0
9162874,18.6594,0.03,3.008,0.143,1.8787,0.15,0.8716,0.03,80.493,8.55,0
9164674,17.6558,0.03,12.976,0.498,1.6024,0.06,0.3327,0.01,20.4761,0.61,0
9166020,17.4493,0.02,6.161,0.158,1.6429,0.04,0.8227,0.01,-68.3963,2.77,0
9168151,18.1099,0.02,3.644,0.09,1.2849,0.05,0.9405,0.02,-19.3206,11.49,0
9169642,17.4066,0.04,10.87,0.731,2.8364,0.13,0.9671,0.02,-85.2037,25.21,0
9170940,17.8972,0.0,2.165,0.023,0.9529,0.05,0.4629,0.01,-36.2411,0.64,0
9172705,18.6326,0.03,3.727,0.166,1.6801,0.12,0.6413,0.02,49.8817,2.49,0
9173509,18.8734,0.02,2.393,0.068,1.1104,0.09,0.9006,0.03,-18.8815,10.71,0
9174356,17.4326,0.02,6.324,0.158,1.5371,0.04,0.9152,0.01,5.1077,6.21,0
9176118,17.4258,0.02,9.241,0.324,1.8495,0.06,0.6834,0.01,69.3723,1.68,0
9177951,18.5314,0.02,3.439,0.09,1.2449,0.07,0.4347,0.01,-18.5597,1.02,0
9179611,18.011,0.02,4.823,0.166,1.7447,0.07,0.7101,0.02,54.2697,2.19,0
9181451,18.5527,0.02,2.858,0.083,1.3086,0.08,0.8217,0.02,1.6412,4.67,0
9184391,18.236,0.03,5.256,0.204,1.7045,0.09,0.5017,0.01,32.9294,1.22,0
9186583,17.3827,0.02,10.699,0.256,1.2058,0.03,0.5436,0.01,53.2136,0.95,0
9187925,17.4537,0.02,10.709,0.309,1.3062,0.04,0.6131,0.01,-11.6599,1.35,0
9189661,18.8495,0.03,2.265,0.083,1.8937,0.21,0.7362,0.03,16.6199,4.24,0
9191104,17.7792,0.02,4.746,0.151,2.0757,0.08,0.6707,0.01,-85.3599,1.57,0
9192917,17.7049,0.03,3.996,0.204,3.517,0.19,0.8289,0.02,-2.2919,3.73,0
9194557,18.0243,0.02,4.988,0.143,1.3488,0.05,0.7412,0.01,-80.2196,2.41,0
9195988,18.6622,0.02,2.627,0.068,1.1359,0.07,0.8114,0.02,13.0757,4.53,0
9199078,18.3305,0.01,2.789,0.053,0.9131,0.04,0.809,0.01,29.1155,3.16,0
9200769,18.4883,0.02,5.213,0.121,0.7729,0.04,0.434,0.01,49.466,0.93,0
9201926,17.7809,0.02,7.08,0.204,1.5152,0.05,0.5038,0.01,-22.158,0.92,0
9203270,17.7833,0.01,5.884,0.09,0.8178,0.03,0.5107,0.01,-21.1014,0.72,0
9205474,18.6196,0.02,2.332,0.068,1.7339,0.15,0.7247,0.02,-14.8291,3.24,0
9207429,17.1762,0.04,13.89,0.724,2.3859,0.09,0.7645,0.02,-72.0548,2.74,0
9208682,17.9153,0.02,7.667,0.249,1.3151,0.05,0.5872,0.01,28.182,1.43,0
9211157,17.945,0.02,9.443,0.324,1.3407,0.05,0.3865,0.01,81.7298,0.77,0
9212873,17.6451,0.02,15.834,0.422,1.0575,0.04,0.2179,0.0,10.8912,0.35,0
9214339,17.6367,0.03,6.56,0.286,2.5181,0.1,0.6523,0.01,52.0613,1.56,0
9216031,17.3107,0.01,5.726,0.098,1.5369,0.03,0.5403,0.01,29.0448,0.65,0
9217776,18.8037,0.03,2.544,0.113,1.9821,0.2,0.7253,0.03,-76.2451,4.03,0
9219351,18.8217,0.02,2.956,0.106,1.1675,0.08,0.7978,0.02,-18.7938,4.97,0
9220513,17.8023,0.03,9.288,0.369,1.6985,0.07,0.4439,0.01,88.726,0.9,2
9223318,18.2338,0.01,3.73,0.068,0.8748,0.04,0.7019,0.01,19.3542,1.84,0
9224716,17.7026,0.1,19.233,3.189,4.096,0.37,0.5828,0.02,55.5477,2.4,0
9225418,17.7599,0.02,4.172,0.128,2.1567,0.08,0.6949,0.01,23.7973,1.67,0
9228473,17.5031,0.01,3.895,0.068,1.6137,0.04,0.697,0.01,-50.0287,1.21,0
9231886,18.2449,0.01,4.399,0.083,0.8834,0.04,0.4597,0.01,14.6369,0.81,0
9234262,18.1004,0.01,6.009,0.128,1.0547,0.04,0.3341,0.01,62.0819,0.54,0
9235884,18.9105,0.02,1.871,0.06,1.5389,0.18,0.7868,0.03,24.7308,5.28,0
9237863,17.9528,0.02,4.22,0.136,1.7676,0.07,0.8256,0.02,32.0287,3.65,0
9239918,17.867,0.03,6.642,0.309,2.1753,0.1,0.6808,0.02,-30.7184,2.07,0
9241835,18.5294,0.02,2.994,0.09,1.5221,0.1,0.6275,0.02,-69.1208,2.0,0
9244412,17.5828,0.02,3.496,0.09,2.8809,0.12,0.4894,0.01,-52.3555,0.74,0
9248510,17.7329,0.03,9.009,0.46,2.5476,0.12,0.3923,0.01,5.0594,0.75,0
9250334,18.6045,0.02,3.154,0.098,1.2504,0.07,0.6547,0.02,-54.481,2.24,0
9251927,17.5582,0.02,6.13,0.173,1.672,0.05,0.8663,0.01,79.5097,4.23,0
9253693,18.107,0.03,7.063,0.271,1.6139,0.07,0.4229,0.01,-67.7198,0.92,0
9255165,17.5638,0.02,12.895,0.354,1.1522,0.04,0.3582,0.01,44.9828,0.59,0
9256846,17.818,0.02,5.338,0.204,2.1063,0.09,0.719,0.01,-43.8606,2.11,0
9258027,18.2478,0.02,4.591,0.173,1.6614,0.08,0.6105,0.02,2.2404,1.71,0
9259595,18.1632,0.04,3.776,0.249,3.3415,0.25,0.7001,0.02,39.4382,2.73,0
9260963,18.0339,0.02,4.282,0.098,1.1305,0.04,0.8246,0.01,64.0101,3.41,0
9262019,17.4999,0.02,8.34,0.219,1.3614,0.04,0.6772,0.01,69.5603,1.55,0
9263569,17.5866,0.02,7.227,0.249,1.6646,0.06,0.9422,0.02,-32.8499,11.87,0
9264862,18.4621,0.02,3.077,0.068,1.1449,0.06,0.6049,0.01,77.9376,1.58,0
9266060,18.1223,0.02,4.999,0.158,1.4227,0.06,0.6701,0.01,-62.0777,1.93,0
9267524,19.0913,0.03,2.375,0.083,1.203,0.12,0.8439,0.03,50.0504,8.12,0
9268384,18.5366,0.02,3.298,0.075,1.0647,0.05,0.5246,0.01,-76.7102,1.26,0
9269963,18.1364,0.05,6.138,0.49,3.0613,0.22,0.6405,0.02,18.3974,2.35,0
9271074,18.5277,0.02,3.007,0.083,1.477,0.1,0.5797,0.02,58.3879,1.67,0
9273894,17.2905,0.01,7.861,0.128,1.0255,0.02,0.6851,0.01,71.1876,1.21,0
9275336,17.8075,0.02,11.334,0.384,1.2144,0.04,0.4262,0.01,-73.9282,0.9,0
9278206,17.5687,0.04,11.535,0.678,2.2416,0.1,0.7427,0.02,86.273,3.03,0
9279688,18.3005,0.02,2.719,0.06,1.4815,0.08,0.7254,0.02,-34.61,2.38,0
9282800,17.492,0.03,11.34,0.565,2.0447,0.08,0.7387,0.02,62.3489,2.72,0
9284260,17.7116,0.02,3.926,0.136,2.3701,0.1,0.945,0.02,44.3821,11.1,0
9285917,18.5858,0.03,5.185,0.204,1.2534,0.07,0.4891,0.01,64.6823,1.42,0
9287831,17.658,0.04,9.083,0.528,2.5305,0.12,0.7058,0.02,84.6388,2.37,0
9289264,17.2575,0.04,11.003,0.626,2.8088,0.11,0.8681,0.02,-86.0855,5.06,0
9290562,17.998,0.01,10.422,0.196,0.6349,0.03,0.2696,0.0,-56.0433,0.42,0
9292390,17.8579,0.07,12.599,1.425,3.1395,0.24,0.7576,0.03,18.3602,4.48,0
9293659,17.4812,0.01,4.004,0.068,1.4035,0.03,0.8615,0.01,-50.7585,2.93,0
9295169,17.7915,0.03,11.373,0.467,1.6102,0.07,0.3749,0.01,80.2799,0.76,0
9296341,17.1576,0.02,16.59,0.558,1.6402,0.05,0.4163,0.01,1.1122,0.67,0
9297859,18.4071,0.01,3.779,0.06,0.6079,0.04,0.4509,0.01,57.6568,0.78,0
9299366,17.3384,0.02,11.606,0.384,1.5582,0.05,0.6622,0.01,86.8611,1.64,0
9300892,18.0512,0.02,3.719,0.121,1.849,0.08,0.7714,0.02,37.3822,2.81,0
9302116,17.9595,0.03,9.68,0.377,1.455,0.06,0.3988,0.01,39.0446,0.86,0
9303471,18.198,0.01,1.822,0.03,1.4908,0.1,0.6159,0.01,-80.5649,1.47,0
9306539,17.8746,0.04,15.449,0.814,1.6734,0.09,0.2884,0.01,-43.7885,0.68,0
9308022,18.138,0.04,9.832,0.678,2.2558,0.14,0.3951,0.01,-47.5544,1.1,0
9309358,18.3356,0.02,3.912,0.098,1.0766,0.05,0.7503,0.02,-56.1653,2.74,0
9310679,17.7312,0.04,10.538,0.58,2.2825,0.11,0.4777,0.01,17.0129,1.1,0
9312150,17.8557,0.02,7.612,0.249,1.4548,0.05,0.5359,0.01,67.1546,1.14,0
9313403,17.4922,0.02,12.338,0.369,1.3316,0.04,0.4309,0.01,1.0381,0.75,0
9314862,17.8229,0.03,10.863,0.52,1.9245,0.09,0.3865,0.01,38.6206,0.82,0
9316360,17.817,0.03,6.795,0.347,2.5434,0.12,0.6092,0.01,31.8087,1.56,0
9317855,17.4828,0.02,11.103,0.294,1.3158,0.04,0.4387,0.01,-22.5752,0.71,0
9319535,18.5717,0.01,3.333,0.068,0.6007,0.04,0.7653,0.01,22.881,2.83,0
9320723,18.0533,0.02,6.17,0.181,1.2893,0.05,0.556,0.01,74.3994,1.27,0
9325840,17.6082,0.02,5.643,0.128,1.2806,0.03,0.8774,0.01,10.6563,4.35,0
9327490,17.9624,0.02,10.696,0.279,0.9605,0.04,0.2899,0.01,89.4301,0.52,0
9329032,18.0399,0.04,9.978,0.513,1.5342,0.08,0.5952,0.02,-62.645,2.04,0
9331416,18.1559,0.01,6.718,0.128,0.67,0.03,0.4163,0.01,7.635,0.71,0
9332958,17.6279,0.02,9.06,0.317,1.7309,0.06,0.5099,0.01,-82.0121,0.98,0
9334220,17.1809,0.02,9.332,0.196,1.255,0.03,0.7521,0.01,-23.0509,1.82,0
9335719,18.567,0.02,3.414,0.09,1.0819,0.06,0.6212,0.02,-12.1834,1.85,0
