# Results of Galfit fitting to the stellar mass projections of EAGLE galaxies at z=0.1
#
# COLUMN 1	[-]	Unique galaxy ID
# COLUMN 2	[-]	best-fit integrated stellar mass log(Mstar/Msun) from Galfit 
# COLUMN 3	[-]	uncertainty on the best-fit integrated stellar mass log(Mstar/Msun) from Galfit
# COLUMN 4	[kpc]	best-fit semi-major axis from Galfit 
# COLUMN 5	[kpc]	uncertainty on the best-fit semi-major axis from Galfit 
# COLUMN 6	[-]	best-fit Sersic index from Galfit
# COLUMN 7	[-]	uncertainty on the best-fit Sersic index from Galfit
# COLUMN 8	[-]	best-fit axis ratio from Galfit
# COLUMN 9	[-]	uncertainty on the best-fit axis ratio from Galfit
# COLUMN 10	[deg]	best-fit position angle from Galfit 
# COLUMN 11	[deg]	uncertainty on the best-fit position angle from Galfit
# COLUMN 12	[-]	quality flag (see description in Section 3.2.3)
#
GalaxyID,galfit_lmstar,galfit_dlmstar,galfit_re,galfit_dre,galfit_n,galfit_dn,galfit_q,galfit_dq,galfit_PA,galfit_dPA,flag
156798,10.698,0.004,4.705,0.075,1.7352,0.03,0.8484,0.01,-5.108699999999999,2.28,0
159350,10.435,0.004,3.28,0.06,1.3511,0.04,0.9869,0.01,-69.59700000000001,41.18,0
160527,10.333,0.008,4.025,0.106,1.3677,0.05,0.8864,0.02,39.2574,5.89,0
165250,10.65,0.004,5.635,0.09,1.3197,0.03,0.7318,0.01,40.6488,1.27,0
168530,10.344,0.004,2.838,0.038,0.8429,0.03,0.8212,0.01,-67.26599999999999,2.62,0
169859,10.105,0.008,2.368,0.053,1.2077,0.09,0.7769,0.02,78.2416,3.65,0
172898,10.024,0.008,2.675,0.083,1.116,0.08,0.7654,0.02,-45.23750000000001,4.06,0
178838,10.351,0.004,1.947,0.038,1.9427,0.12,0.572,0.01,-79.8712,1.18,0
180003,10.077,0.012,3.363,0.136,1.5774,0.12,0.56,0.02,-33.57849999999999,1.88,0
180676,10.28,0.008,3.351,0.09,1.4538,0.06,0.8012,0.02,-83.7492,3.31,0
197364,11.208,0.004,9.317,0.204,4.079,0.06,0.8218,0.01,-47.74199999999999,1.11,0
210844,10.072,0.012,3.766,0.181,1.6499,0.12,0.6163,0.02,-2.1322999999999865,2.44,0
213585,10.34,0.004,3.027,0.053,1.6409,0.08,0.4639,0.01,-48.29059999999998,0.8,0
217859,10.095,0.008,2.97,0.098,1.2567,0.07,0.8913,0.02,-19.323499999999996,8.85,0
222320,10.118,0.012,3.975,0.173,1.7946,0.13,0.4545,0.02,32.8394,1.33,0
222927,10.136,0.008,3.378,0.106,1.7565,0.13,0.3462,0.01,27.991300000000003,0.89,0
223470,10.177,0.008,2.122,0.053,2.1715,0.19,0.6348,0.02,0.8281000000000063,2.14,0
234331,10.359,0.008,5.614,0.128,1.2745,0.04,0.3806,0.01,-3.908999999999992,0.61,0
241396,10.135,0.008,3.346,0.121,1.7684,0.13,0.4962,0.02,82.3987,1.42,0
244671,10.075,0.012,2.599,0.128,2.1344,0.2,0.8465,0.03,19.9379,7.39,0
