GalaxyID,MassType_Star,MassType_Gas,MassType_DM,MassType_BH,BlackHoleMass,InitialMassWeightedStellarAge,StarFormationRate
16005099,6.7014504E10,1.10179615E11,3.30314075E12,1.67105632E8,1.1344592E8,8.025787,1.2734765
16009894,6.7946496E10,8.0088015E10,1.75393079E12,6.3285284E7,2.7749448E7,7.2695093,3.143479
16012583,8.3027886E10,2.54690525E11,4.6145119E12,2.37475408E8,1.30330088E8,8.8723755,0.15546808
16018178,9.0109379E10,2.38613103E11,4.9862688E12,2.8725344E8,1.63926832E8,8.430084,0.22719279
16024915,3.9316939E10,1.24532769E11,1.78062138E12,4.5964952E7,1.4512639E7,5.207015,3.5225668
16027782,1.76690115E10,3.04574976E10,1.72041503E12,6.994676E7,5.24327E7,9.768849,0.23492932
16030140,5.5365587E10,2.65592111E11,4.8090044E12,1.3694968E8,8.664332E7,8.275368,0.14810777
16033864,2.73624044E10,5.6740772E9,1.75809954E11,4.2000156E7,3.4831464E7,5.9354205,1.551076
16036384,4.5428584E10,2.64482079E11,5.1695442E12,2.18847296E8,1.21583224E8,8.688436,2.9750035
16041950,1.12798081E11,2.23578276E11,5.453163E12,3.26696384E8,1.94710608E8,8.973843,1.14312
16049480,1.38076275E11,4.33937514E11,5.3010283E12,2.6895504E8,1.27931936E8,7.839455,1.375359
16056372,1.39528503E11,4.17260274E11,4.7017E12,2.22784688E8,1.067846E8,7.0255413,7.0118814
16062295,5.661918E10,2.4090506E11,5.4788935E12,1.93474752E8,1.14684384E8,8.5105715,0.3013905
16069545,4.5778907E10,3.22973696E11,3.14918358E12,8.0913792E7,1.9083358E7,5.978392,2.9105194
16072005,1.05767158E11,3.59930692E11,5.7315075E12,2.16193184E8,1.29664096E8,8.353674,2.035759
16079259,8.4057924E10,3.31171234E11,4.1998355E12,1.80321952E8,1.05563096E8,7.219878,1.9617124
16085015,6.6356023E10,3.68276177E11,4.5816752E12,1.99648592E8,1.0644492E8,7.9932585,1.5874068
16090542,7.0002819E10,2.76444545E11,3.79270228E12,1.36511664E8,4.8505444E7,7.0925684,0.27817684
16094955,8.5472248E10,2.50184663E11,4.19299144E12,2.25639472E8,1.10573664E8,7.2675953,0.6119384
16100140,9.603933E10,2.77734654E11,4.7876177E12,2.32030176E8,1.36393824E8,7.774418,1.8509327
16106438,4.975061E10,1.42633271E11,5.043499E12,1.95387616E8,8.3188264E7,8.093094,0.23986058
16110818,5.353139E10,2.2711296E11,4.836335E12,2.52177824E8,1.3984376E8,9.20907,0.9521156
16116800,4.994877E10,3.47435237E11,3.28125907E12,5.497356E7,2.1283626E7,6.359519,3.3074386
16120200,4.5109588E10,1.58526358E11,2.47673546E12,9.6661256E7,3.4102052E7,6.575493,0.06467391
16123379,6.0633612E10,1.27604015E11,2.71902415E12,8.520876E7,4.454392E7,7.467682,1.9197818
16126634,6.500735E10,3.55766174E11,3.37385672E12,7.6042056E7,2.9045974E7,6.1332803,4.3425236
16130871,5.9223323E10,3.20374342E11,4.06507487E12,1.68300176E8,8.8040328E7,7.268879,4.111072
16135805,8.9439322E10,2.08029352E11,4.3040574E12,1.9777704E8,1.2193484E8,8.101229,1.3664591
16140911,8.0484327E10,3.03671673E11,4.4370834E12,1.74235584E8,1.21347608E8,7.8563623,4.453187
16146147,6.7028767E10,1.77617437E11,3.6691289E12,1.400992E8,8.9837968E7,7.846242,2.0253286
